name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation/type,geolocation/coordinates/0,geolocation/coordinates/1,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Queen's Mercy,22357,Valid,H6,7000,Fell,1925-01-01T00:00:00.000,-30.11667,28.7,Point,28.7,-30.11667,,
Quenggouk,22358,Valid,H4,6045,Fell,1857-01-01T00:00:00.000,17.76667,95.18333,Point,95.18333,17.76667,,
Quesa,22360,Valid,"Iron, IAB-ung",10750,Fell,1898-01-01T00:00:00.000,39,-0.66667,Point,-0.66667,39,,
Quija,22361,Valid,H,17450,Fell,1990-01-01T00:00:00.000,44.61667,126.13333,Point,126.13333,44.61667,,
Quincay,22363,Valid,L6,65,Fell,1851-01-01T00:00:00.000,46.6,0.25,Point,0.25,46.6,,
Raco,22368,Valid,H5,5000,Fell,1957-01-01T00:00:00.000,-26.66667,-65.45,Point,-65.45,-26.66667,,
Raghunathpura,22371,Valid,"Iron, IIAB",10200,Fell,1986-01-01T00:00:00.000,27.72528,76.465,Point,76.465,27.72528,,
Rahimyar Khan,31302,Valid,L5,67225,Fell,1983-01-01T00:00:00.000,28.225,70.2,Point,70.2,28.225,,
Rakovka,22376,Valid,L6,9000,Fell,1878-01-01T00:00:00.000,52.98333,37.03333,Point,37.03333,52.98333,,
Ramnagar,22384,Valid,L6,3766,Fell,1940-01-01T00:00:00.000,26.45,82.9,Point,82.9,26.45,,
Rampurhat,22385,Valid,LL,100,Fell,1916-01-01T00:00:00.000,24.16667,87.76667,Point,87.76667,24.16667,,
Ramsdorf,22386,Valid,L6,4682,Fell,1958-01-01T00:00:00.000,51.88333,6.93333,Point,6.93333,51.88333,,
Ranchapur,22387,Valid,H4,290.4,Fell,1917-01-01T00:00:00.000,23.98333,87.08333,Point,87.08333,23.98333,,
Rancho de la Presa,22390,Valid,H5,300,Fell,1899-01-01T00:00:00.000,19.86667,-100.81667,Point,-100.81667,19.86667,,
Rangala,22392,Valid,L6,3224.5,Fell,1937-01-01T00:00:00.000,25.38333,72.01667,Point,72.01667,25.38333,,
Raoyang,22394,Valid,L6,4910,Fell,1919-01-01T00:00:00.000,38.2,115.7,Point,115.7,38.2,,
Ras Tanura,22395,Valid,H6,6.1,Fell,1961-01-01T00:00:00.000,26.66667,50.15,Point,50.15,26.66667,,
Rasgrad,22396,Valid,Stone-uncl,24700,Fell,1740-01-01T00:00:00.000,43.5,26.53333,Point,26.53333,43.5,,
Ratyn,22398,Valid,Stone-uncl,910,Fell,1880-01-01T00:00:00.000,52.2,17.98333,Point,17.98333,52.2,,
Red Canyon Lake,53502,Valid,H5,18.41,Fell,2007-01-01T00:00:00.000,38.13742,-119.75812,Point,-119.75812,38.13742,8,1391
Reliegos,22584,Valid,L5,17300,Fell,1947-01-01T00:00:00.000,42.475,-5.33333,Point,-5.33333,42.475,,
Rembang,22585,Valid,"Iron, IVA",10000,Fell,1919-01-01T00:00:00.000,-6.73333,111.36667,Point,111.36667,-6.73333,,
Renazzo,22586,Valid,CR2,1000,Fell,1824-01-01T00:00:00.000,44.76667,11.28333,Point,11.28333,44.76667,,
Renca,22587,Valid,L5,300,Fell,1925-01-01T00:00:00.000,-32.75,-65.28333,Point,-65.28333,-32.75,,
Renqiu,22589,Valid,L6,355,Fell,1916-01-01T00:00:00.000,38.66667,116.13333,Point,116.13333,38.66667,,
Repeev Khutor,22590,Valid,"Iron, IIF",7000,Fell,1933-01-01T00:00:00.000,48.6,45.66667,Point,45.66667,48.6,,
Revelstoke,22592,Valid,CI1,1,Fell,1965-01-01T00:00:00.000,51.33333,-118.95,Point,-118.95,51.33333,,
Rewari,22593,Valid,L6,3332,Fell,1929-01-01T00:00:00.000,28.2,76.66667,Point,76.66667,28.2,,
Rich Mountain,22597,Valid,L6,668,Fell,1903-01-01T00:00:00.000,35.03333,-83.03333,Point,-83.03333,35.03333,37,2388
Uzcudun,24140,Valid,L,20000,Fell,1948-01-01T00:00:00.000,-44.11667,-66.15,Point,-66.15,-44.11667,,
Richardton,22599,Valid,H5,90000,Fell,1918-01-01T00:00:00.000,46.88333,-102.31667,Point,-102.31667,46.88333,3,569
Richland Springs,22602,Valid,OC,1900,Fell,1980-01-01T00:00:00.000,31.25,-99.03333,Point,-99.03333,31.25,23,2885
Richmond,22603,Valid,LL5,1800,Fell,1828-01-01T00:00:00.000,37.46667,-77.5,Point,-77.5,37.46667,40,2764
Rio Negro,22611,Valid,L4,1310,Fell,1934-01-01T00:00:00.000,-26.1,-49.8,Point,-49.8,-26.1,,
Rivolta de Bassi,22614,Valid,Stone-uncl,103.3,Fell,1491-01-01T00:00:00.000,45.48333,9.51667,Point,9.51667,45.48333,,
Rochester,22637,Valid,H6,340,Fell,1876-01-01T00:00:00.000,41.08333,-86.28333,Point,-86.28333,41.08333,35,150
Rockhampton,22640,Valid,Stone-uncl,1641,Fell,1895-01-01T00:00:00.000,-23.38333,150.51667,Point,150.51667,-23.38333,,
Roda,22641,Valid,Diogenite,400,Fell,1871-01-01T00:00:00.000,42.3,0.55,Point,0.55,42.3,,
Rodach,22642,Valid,Stone-uncl,2900,Fell,1775-01-01T00:00:00.000,50.35,10.8,Point,10.8,50.35,,
Rose City,22766,Valid,H5,10600,Fell,1921-01-01T00:00:00.000,44.51667,-83.95,Point,-83.95,44.51667,50,361
Rowton,22773,Valid,"Iron, IIIAB",3500,Fell,1876-01-01T00:00:00.000,52.76667,-2.51667,Point,-2.51667,52.76667,,
Ruhobobo,22780,Valid,L6,465.5,Fell,1976-01-01T00:00:00.000,-1.45,29.83333,Point,29.83333,-1.45,,
Rumuruti,22782,Valid,R3.8-6,67,Fell,1934-01-01T00:00:00.000,0.26667,36.53333,Point,36.53333,0.26667,,
Rupota,22783,Valid,L4-6,6000,Fell,1949-01-01T00:00:00.000,-10.26667,38.76667,Point,38.76667,-10.26667,,
Ryechki,22791,Valid,L5,13000,Fell,1914-01-01T00:00:00.000,51.13333,34.5,Point,34.5,51.13333,,
Sabetmahet,22792,Valid,H5,1250,Fell,1855-01-01T00:00:00.000,27.43333,82.08333,Point,82.08333,27.43333,,
Sabrum,22793,Valid,LL6,478,Fell,1999-01-01T00:00:00.000,23.08333,91.66667,Point,91.66667,23.08333,,
Sagan,22796,Valid,Stone-uncl,0,Fell,1636-01-01T00:00:00.000,51.53333,14.88333,Point,14.88333,51.53333,,
Saint-Sauveur,23101,Valid,EH5,14000,Fell,1914-01-01T00:00:00.000,43.73333,1.38333,Point,1.38333,43.73333,,
Saint-Séverin,23102,Valid,LL6,271000,Fell,1966-01-01T00:00:00.000,45.3,0.23333,Point,0.23333,45.3,,
Sakauchi,23103,Valid,Iron,4180,Fell,1913-01-01T00:00:00.000,35.66667,136.3,Point,136.3,35.66667,,
Salem,23107,Valid,L6,61.4,Fell,1981-01-01T00:00:00.000,44.97917,-122.96944,Point,-122.96944,44.97917,12,2409
Salles,23111,Valid,L5,9000,Fell,1798-01-01T00:00:00.000,46.05,4.63333,Point,4.63333,46.05,,
Salzwedel,23114,Valid,LL5,43,Fell,1985-01-01T00:00:00.000,52.75,11.05,Point,11.05,52.75,,
Samelia,23115,Valid,"Iron, IIIAB",2462,Fell,1921-01-01T00:00:00.000,25.66667,74.86667,Point,74.86667,25.66667,,
San Juan Capistrano,23128,Valid,H6,56,Fell,1973-01-01T00:00:00.000,33.48472,-117.6625,Point,-117.6625,33.48472,8,1174
San Michele,31315,Valid,L6,237,Fell,2002-01-01T00:00:00.000,43.66667,13,Point,13,43.66667,,
San Pedro de Quiles,23130,Valid,L6,282,Fell,1956-01-01T00:00:00.000,-31.01667,-71.4,Point,-71.4,-31.01667,,
San Pedro Jacuaro,34063,Valid,LL6,460,Fell,1968-01-01T00:00:00.000,19.76667,-100.65,Point,-100.65,19.76667,,
Santa Barbara,23161,Valid,L4,400,Fell,1873-01-01T00:00:00.000,-29.2,-51.86667,Point,-51.86667,-29.2,,
Santa Cruz,23164,Valid,CM2,60,Fell,1939-01-01T00:00:00.000,24.16667,-99.33333,Point,-99.33333,24.16667,,
Santa Isabel,23165,Valid,L6,5500,Fell,1924-01-01T00:00:00.000,-33.9,-61.7,Point,-61.7,-33.9,,
Santa Lucia (2008),50909,Valid,L6,4000,Fell,2008-01-01T00:00:00.000,-31.535556,-68.489444,Point,-68.489444,-31.535556,,
São Jose do Rio Preto,23171,Valid,H4,927,Fell,1962-01-01T00:00:00.000,-20.81,-49.38056,Point,-49.38056,-20.81,,
Saratov,23176,Valid,L4,200000,Fell,1918-01-01T00:00:00.000,52.55,46.55,Point,46.55,52.55,,
Sasagase,23187,Valid,H,695,Fell,1688-01-01T00:00:00.000,34.71667,137.78333,Point,137.78333,34.71667,,
Sauguis,23188,Valid,L6,4000,Fell,1868-01-01T00:00:00.000,43.15,-0.85,Point,-0.85,43.15,,
Savtschenskoje,23190,Valid,LL4,2500,Fell,1894-01-01T00:00:00.000,47.21667,29.86667,Point,29.86667,47.21667,,
Sayama,23192,Valid,CM2,430,Fell,1986-01-01T00:00:00.000,35.86667,139.4,Point,139.4,35.86667,,
Sazovice,23455,Valid,L5,412,Fell,1934-01-01T00:00:00.000,49.23333,17.56667,Point,17.56667,49.23333,,
Schellin,23457,Valid,L,7000,Fell,1715-01-01T00:00:00.000,53.35,15.05,Point,15.05,53.35,,
Schenectady,23458,Valid,H5,283.3,Fell,1968-01-01T00:00:00.000,42.86083,-73.95028,Point,-73.95028,42.86083,47,2142
Schönenberg,23460,Valid,L6,8000,Fell,1846-01-01T00:00:00.000,48.11667,10.46667,Point,10.46667,48.11667,,
Searsmont,23472,Valid,H5,5400,Fell,1871-01-01T00:00:00.000,44.36667,-69.2,Point,-69.2,44.36667,49,1727
Sediköy,23473,Valid,L6,240,Fell,1917-01-01T00:00:00.000,38.3,27.13333,Point,27.13333,38.3,,
Segowlie,23476,Valid,LL6,6930,Fell,1853-01-01T00:00:00.000,26.75,84.78333,Point,84.78333,26.75,,
Selakopi,23481,Valid,H5,1590,Fell,1939-01-01T00:00:00.000,-7.23333,107.33333,Point,107.33333,-7.23333,,
Seldebourak,23483,Valid,H5,150,Fell,1947-01-01T00:00:00.000,22.83333,4.98333,Point,4.98333,22.83333,,
Semarkona,23487,Valid,LL3.00,691,Fell,1940-01-01T00:00:00.000,22.25,79,Point,79,22.25,,
Sena,23495,Valid,H4,4000,Fell,1773-01-01T00:00:00.000,41.71667,-0.05,Point,-0.05,41.71667,,
Senboku,23496,Valid,H6,866,Fell,1993-01-01T00:00:00.000,39.43833,140.51167,Point,140.51167,39.43833,,
Seoni,23500,Valid,H6,20000,Fell,1966-01-01T00:00:00.000,21.68389,79.50083,Point,79.50083,21.68389,,
Seres,23501,Valid,H4,8500,Fell,1818-01-01T00:00:00.000,41.05,23.56667,Point,23.56667,41.05,,
Serra de Magé,23502,Valid,Eucrite-cm,1800,Fell,1923-01-01T00:00:00.000,-8.38333,-36.76667,Point,-36.76667,-8.38333,,
Sete Lagoas,23504,Valid,H4,350,Fell,1908-01-01T00:00:00.000,-19.46667,-44.21667,Point,-44.21667,-19.46667,,
Sevilla,23508,Valid,LL4,180,Fell,1862-01-01T00:00:00.000,37.41667,-6,Point,-6,37.41667,,
Sevrukovo,23509,Valid,L5,101000,Fell,1874-01-01T00:00:00.000,50.61667,36.6,Point,36.6,50.61667,,
Sfax,23512,Valid,L6,7000,Fell,1989-01-01T00:00:00.000,34.75,10.71667,Point,10.71667,34.75,,
Shalka,23521,Valid,Diogenite,4000,Fell,1850-01-01T00:00:00.000,23.1,87.3,Point,87.3,23.1,,
Sharps,23525,Valid,H3.4,1265,Fell,1921-01-01T00:00:00.000,37.83333,-76.7,Point,-76.7,37.83333,40,921
Shelburne,23529,Valid,L5,18600,Fell,1904-01-01T00:00:00.000,44.05,-80.16667,Point,-80.16667,44.05,,
Shergotty,23530,Valid,Martian (shergottite),5000,Fell,1865-01-01T00:00:00.000,24.55,84.83333,Point,84.83333,24.55,,
Sheyang,23531,Valid,L6,605,Fell,1976-01-01T00:00:00.000,33.65,120.06667,Point,120.06667,33.65,,
Shikarpur,23534,Valid,L6,3679.7,Fell,1921-01-01T00:00:00.000,25.85,87.5775,Point,87.5775,25.85,,
Shuangyang,23582,Valid,H5,3900,Fell,1971-01-01T00:00:00.000,43.5,125.66667,Point,125.66667,43.5,,
Shupiyan,23583,Valid,H6,5000,Fell,1912-01-01T00:00:00.000,33.71667,74.83333,Point,74.83333,33.71667,,
Shytal,23584,Valid,L6,3200,Fell,1863-01-01T00:00:00.000,24.33333,90.16667,Point,90.16667,24.33333,,
Siena,23586,Valid,LL5,3700,Fell,1794-01-01T00:00:00.000,43.11667,11.6,Point,11.6,43.11667,,
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000,Fell,1947-01-01T00:00:00.000,46.16,134.65333,Point,134.65333,46.16,,
Silao,23594,Valid,H5,1710,Fell,1995-01-01T00:00:00.000,20.93333,-101.38333,Point,-101.38333,20.93333,,
Silistra,55584,Valid,Achondrite-ung,0.15,Fell,1917-01-01T00:00:00.000,44.11667,27.26667,Point,27.26667,44.11667,,
Simmern,23603,Valid,H5,1222,Fell,1920-01-01T00:00:00.000,49.98333,7.53333,Point,7.53333,49.98333,,
Sinai,23606,Valid,L6,1455,Fell,1916-01-01T00:00:00.000,30.9,32.48333,Point,32.48333,30.9,,
Sindhri,23611,Valid,H5,8400,Fell,1901-01-01T00:00:00.000,26.21667,69.55,Point,69.55,26.21667,,
Sinnai,23613,Valid,H6,2000,Fell,1956-01-01T00:00:00.000,39.3,9.2,Point,9.2,39.3,,
Sioux County,23614,Valid,Eucrite-mmict,4100,Fell,1933-01-01T00:00:00.000,42.58333,-103.66667,Point,-103.66667,42.58333,19,2351
Sitathali,23616,Valid,H5,1600,Fell,1875-01-01T00:00:00.000,20.91667,82.58333,Point,82.58333,20.91667,,
Sivas,23617,Valid,H6,40000,Fell,1989-01-01T00:00:00.000,39.82467,36.13583,Point,36.13583,39.82467,,
Sixiangkou,23619,Valid,L5,630,Fell,1989-01-01T00:00:00.000,32.43333,119.86667,Point,119.86667,32.43333,,
Ski,23621,Valid,L6,850,Fell,1848-01-01T00:00:00.000,59.73333,10.86667,Point,10.86667,59.73333,,
Slavetic,23626,Valid,H5,1708,Fell,1868-01-01T00:00:00.000,45.68333,15.6,Point,15.6,45.68333,,
Slobodka,23645,Valid,L4,2750,Fell,1818-01-01T00:00:00.000,55,35,Point,35,55,,
Soheria,23660,Valid,OC,72.9,Fell,1960-01-01T00:00:00.000,27.13333,84.06667,Point,84.06667,27.13333,,
Soko-Banja,23661,Valid,LL4,80000,Fell,1877-01-01T00:00:00.000,43.66667,21.86667,Point,21.86667,43.66667,,
Sologne,23663,Valid,H5,54,Fell,1860-01-01T00:00:00.000,47.36667,1.73333,Point,1.73333,47.36667,,
Sołtmany,53829,Valid,L6,1066,Fell,2011-01-01T00:00:00.000,54.00883,22.005,Point,22.005,54.00883,,
Sone,23667,Valid,H5,17100,Fell,1866-01-01T00:00:00.000,35.16667,135.33333,Point,135.33333,35.16667,,
Songyuan,23668,Valid,L6,36900,Fell,1993-01-01T00:00:00.000,45.25,125,Point,125,45.25,,
Sopot,23670,Valid,OC,958,Fell,1927-01-01T00:00:00.000,44.41667,23.5,Point,23.5,44.41667,,
Soroti,23671,Valid,"Iron, ungrouped",2050,Fell,1945-01-01T00:00:00.000,1.7,33.63333,Point,33.63333,1.7,,
St. Caprais-de-Quinsac,23081,Valid,L6,360,Fell,1883-01-01T00:00:00.000,44.75,0.05,Point,0.05,44.75,,
St. Christophe-la-Chartreuse,23082,Valid,L6,5500,Fell,1841-01-01T00:00:00.000,46.95,-1.5,Point,-1.5,46.95,,
St. Denis Westrem,23083,Valid,L6,700,Fell,1855-01-01T00:00:00.000,51.05,3.75,Point,3.75,51.05,,
St. Germain-du-Pinel,23087,Valid,H6,4000,Fell,1890-01-01T00:00:00.000,48.01667,-1.15,Point,-1.15,48.01667,,
St. Louis,23089,Valid,H4,1000,Fell,1950-01-01T00:00:00.000,38.7,-90.23333,Point,-90.23333,38.7,18,2223
St. Mark's,23090,Valid,EH5,13780,Fell,1903-01-01T00:00:00.000,-32.01667,27.41667,Point,27.41667,-32.01667,,
St. Mary's County,23091,Valid,LL3.3,24.3,Fell,1919-01-01T00:00:00.000,38.16667,-76.38333,Point,-76.38333,38.16667,45,424
St. Mesmin,23092,Valid,LL6,8300,Fell,1866-01-01T00:00:00.000,48.45,3.93333,Point,3.93333,48.45,,
St. Michel,23093,Valid,L6,17000,Fell,1910-01-01T00:00:00.000,61.65,27.2,Point,27.2,61.65,,
St.-Chinian,23097,Valid,L6,134.3,Fell,1959-01-01T00:00:00.000,43.43333,2.95,Point,2.95,43.43333,,
Ställdalen,23712,Valid,H5,34000,Fell,1876-01-01T00:00:00.000,59.93333,14.95,Point,14.95,59.93333,,
Stannern,23713,Valid,Eucrite-mmict,52000,Fell,1808-01-01T00:00:00.000,49.28333,15.56667,Point,15.56667,49.28333,,
Stavropol,23717,Valid,L6,1500,Fell,1857-01-01T00:00:00.000,45.05,41.98333,Point,41.98333,45.05,,
Ste. Marguerite,23099,Valid,H4,4960,Fell,1962-01-01T00:00:00.000,50.76667,3,Point,3,50.76667,,
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1990-01-01T00:00:00.000,53.66667,55.98333,Point,55.98333,53.66667,,
Stolzenau,23726,Valid,Stone-uncl,0,Fell,1647-01-01T00:00:00.000,52.53333,9.05,Point,9.05,52.53333,,
Stratford,23728,Valid,L6,50,Fell,1974-01-01T00:00:00.000,41.2,-73.13333,Point,-73.13333,41.2,24,1040
Strathmore,23729,Valid,L6,13400,Fell,1917-01-01T00:00:00.000,56.58333,-3.25,Point,-3.25,56.58333,,
Stretchleigh,23732,Valid,Stone-uncl,10400,Fell,1623-01-01T00:00:00.000,50.38333,-3.95,Point,-3.95,50.38333,,
St-Robert,23733,Valid,H5,25400,Fell,1994-01-01T00:00:00.000,45.96861,-72.97806,Point,-72.97806,45.96861,,
Success,23736,Valid,L6,3500,Fell,1924-01-01T00:00:00.000,36.48333,-90.66667,Point,-90.66667,36.48333,15,955
Suchy Dul,23737,Valid,L6,815.3,Fell,1969-01-01T00:00:00.000,50.53806,16.26333,Point,16.26333,50.53806,,
Suizhou,23738,Valid,L6,260000,Fell,1986-01-01T00:00:00.000,31.61667,113.46667,Point,113.46667,31.61667,,
Sulagiri,48951,Valid,LL6,110000,Fell,2008-01-01T00:00:00.000,12.66667,78.03333,Point,78.03333,12.66667,,
Sultanpur,23741,Valid,L/LL6,1710.5,Fell,1916-01-01T00:00:00.000,25.93333,84.28333,Point,84.28333,25.93333,,
Sungach,23745,Valid,H5,637,Fell,1935-01-01T00:00:00.000,44.86667,133.16667,Point,133.16667,44.86667,,
Supuhee,23760,Valid,H6,7235,Fell,1865-01-01T00:00:00.000,26.71667,84.21667,Point,84.21667,26.71667,,
Sutter's Mill,55529,Valid,C,992.5,Fell,2012-01-01T00:00:00.000,38.80389,-120.90806,Point,-120.90806,38.80389,8,1187
Sylacauga,23773,Valid,H4,5560,Fell,1954-01-01T00:00:00.000,33.18836,-86.2945,Point,-86.2945,33.18836,29,1637
Tabor,23776,Valid,H5,7540,Fell,1753-01-01T00:00:00.000,49.4,14.65,Point,14.65,49.4,,
Tadjera,23778,Valid,L5,9000,Fell,1867-01-01T00:00:00.000,36.18333,5.41667,Point,5.41667,36.18333,,
Tagish Lake,23782,Valid,C2-ung,10000,Fell,2000-01-01T00:00:00.000,59.70444,-134.20139,Point,-134.20139,59.70444,,
Tahara,23784,Valid,H4/5,1000,Fell,1991-01-01T00:00:00.000,34.72,137.305,Point,137.305,34.72,,
Takenouchi,23789,Valid,H5,720,Fell,1880-01-01T00:00:00.000,35.38333,134.9,Point,134.9,35.38333,,
Talampaya,23791,Valid,Eucrite-cm,1421,Fell,1995-01-01T00:00:00.000,,,,,,,
Tambakwatu,23795,Valid,L6,10500,Fell,1975-01-01T00:00:00.000,-7.75,112.76667,Point,112.76667,-7.75,,
Tamdakht,48691,Valid,H5,100000,Fell,2008-01-01T00:00:00.000,31.16333,-7.015,Point,-7.015,31.16333,,
Tané,23801,Valid,L5,905,Fell,1918-01-01T00:00:00.000,35.43333,136.23333,Point,136.23333,35.43333,,
Taonan,23873,Valid,L5,3850,Fell,1965-01-01T00:00:00.000,45.4,122.9,Point,122.9,45.4,,
Tatahouine,23884,Valid,Diogenite,12000,Fell,1931-01-01T00:00:00.000,32.95,10.41667,Point,10.41667,32.95,,
Tathlith,23885,Valid,L6,2500,Fell,1967-01-01T00:00:00.000,19.38333,43.73333,Point,43.73333,19.38333,,
Tauk,23887,Valid,L6,6000,Fell,1929-01-01T00:00:00.000,35.13333,44.45,Point,44.45,35.13333,,
Tauti,23888,Valid,L6,21000,Fell,1937-01-01T00:00:00.000,46.71667,23.5,Point,23.5,46.71667,,
Tenham,23897,Valid,L6,160000,Fell,1879-01-01T00:00:00.000,-25.73333,142.95,Point,142.95,-25.73333,,
Tennasilm,23898,Valid,L4,28500,Fell,1872-01-01T00:00:00.000,58.03333,26.95,Point,26.95,58.03333,,
Thal,23908,Valid,H6,342,Fell,1950-01-01T00:00:00.000,33.4,70.6,Point,70.6,33.4,,
Thika,54493,Valid,L6,14200,Fell,2011-01-01T00:00:00.000,-1.00278,37.15028,Point,37.15028,-1.00278,,
Thuathe,23976,Valid,H4/5,45300,Fell,2002-01-01T00:00:00.000,-29.33333,27.58333,Point,27.58333,-29.33333,,
Tianzhang,23984,Valid,H5,2232,Fell,1986-01-01T00:00:00.000,32.94667,118.99,Point,118.99,32.94667,,
Tieschitz,23989,Valid,H/L3.6,28000,Fell,1878-01-01T00:00:00.000,49.6,17.11667,Point,17.11667,49.6,,
Tilden,23998,Valid,L6,74800,Fell,1927-01-01T00:00:00.000,38.2,-89.68333,Point,-89.68333,38.2,34,1762
Tillaberi,23999,Valid,L6,3000,Fell,1970-01-01T00:00:00.000,14.25,1.53333,Point,1.53333,14.25,,
Timochin,24004,Valid,H5,65500,Fell,1807-01-01T00:00:00.000,54.5,35.2,Point,35.2,54.5,,
Tirupati,24009,Valid,H6,230,Fell,1934-01-01T00:00:00.000,13.63333,79.41667,Point,79.41667,13.63333,,
Tissint,54823,Valid,Martian (shergottite),7000,Fell,2011-01-01T00:00:00.000,29.48195,-7.61123,Point,-7.61123,29.48195,,
Tjabe,24011,Valid,H6,20000,Fell,1869-01-01T00:00:00.000,-7.08333,111.53333,Point,111.53333,-7.08333,,
Tjerebon,24012,Valid,L5,16500,Fell,1922-01-01T00:00:00.000,-6.66667,106.58333,Point,106.58333,-6.66667,,
Tomakovka,24019,Valid,LL6,600,Fell,1905-01-01T00:00:00.000,47.85,34.76667,Point,34.76667,47.85,,
